timestamp;hand;angle
13;Left;5
30;Left;5
47;Left;5
64;Left;5
82;Left;5
99;Left;5
119;Left;5
136;Left;5
154;Left;5
171;Left;5
189;Left;5
206;Left;5
223;Left;5
242;Left;5
259;Left;5
276;Left;5
292;Left;5
308;Left;5
326;Left;5
343;Left;5
360;Left;5
377;Left;5
394;Left;5
412;Left;5
432;Left;5
448;Left;5
466;Left;5
482;Left;5
499;Left;5
516;Left;5
534;Left;5
551;Left;5
568;Left;5
587;Left;5
603;Left;5
621;Left;5
638;Left;5
655;Left;5
673;Left;5
690;Left;5
707;Left;5
723;Left;10
741;Left;10
758;Left;10
779;Left;15
796;Left;15
814;Left;15
831;Left;20
849;Left;20
864;Left;20
881;Left;25
897;Left;25
914;Left;25
932;Left;25
950;Left;30
969;Left;30
987;Left;30
1004;Left;30
1021;Left;35
1039;Left;35
1057;Left;35
1076;Left;35
1096;Left;35
1107;Left;35
1123;Left;35
1140;Left;40
1157;Left;40
1174;Left;40
1192;Left;40
1210;Left;35
1227;Left;35
1244;Left;35
1265;Left;35
1282;Left;35
1297;Left;35
1314;Left;30
1331;Left;30
1348;Left;30
1366;Left;30
1383;Left;30
1401;Left;30
1418;Left;30
1436;Left;30
1454;Left;30
1472;Left;30
1489;Left;30
1506;Left;30
1522;Left;30
1540;Left;30
1557;Left;30
1575;Left;30
1592;Left;30
1610;Left;30
1627;Left;30
1644;Left;30
1661;Left;30
1679;Left;30
1697;Left;30
1713;Left;30
1731;Left;30
1748;Left;30
1765;Left;30
1782;Left;30
1800;Left;30
1816;Left;30
1834;Left;30
1851;Left;30
1869;Left;30
1886;Left;30
1904;Left;30
1921;Left;30
1938;Left;30
1958;Left;30
1975;Left;30
1992;Left;30
2010;Left;30
2027;Left;30
2044;Left;30
2062;Left;30
2080;Left;30
2097;Left;30
2114;Left;30
2131;Left;30
2149;Left;30
2168;Left;30
2182;Left;30
2198;Left;30
2216;Left;30
2233;Left;30
2251;Left;30
2269;Left;30
2286;Left;30
2304;Left;30
2320;Left;30
2338;Left;30
2355;Left;30
2372;Left;30
2389;Left;30
2407;Left;30
2424;Left;30
2441;Left;30
2459;Left;30
2476;Left;30
2494;Left;30
2512;Left;30
2528;Left;35
2546;Left;35
2563;Left;35
2581;Left;35
2597;Left;35
2614;Left;35
2632;Left;35
2649;Left;35
2667;Left;35
2688;Left;35
2702;Left;35
2721;Left;35
2737;Left;35
2754;Left;35
2772;Left;35
2789;Left;35
2806;Left;35
2823;Left;30
2840;Left;30
2857;Left;30
2875;Left;30
2892;Left;30
2910;Left;30
2927;Left;30
2944;Left;30
2962;Left;30
2979;Left;30
2996;Left;30
3014;Left;30
3031;Left;30
3049;Left;25
3069;Left;25
3086;Left;25
3105;Left;20
3122;Left;20
3139;Left;20
3154;Left;15
3172;Left;15
3188;Left;15
3205;Left;10
3223;Left;10
3241;Left;10
3257;Left;10
3274;Left;10
3292;Left;10
3310;Left;5
3326;Left;5
3344;Left;5
3362;Left;5
3379;Left;5
3395;Left;5
3412;Left;5
3431;Left;5
3448;Left;5
3465;Left;5
3483;Left;5
3500;Left;5
3517;Left;5
3536;Left;5
3553;Left;5
3568;Left;10
3586;Left;10
3603;Left;10
3620;Left;10
3639;Left;10
3656;Left;10
3674;Left;10
3692;Left;10
3709;Left;10
3726;Left;5
3743;Left;5
3761;Left;5
3777;Left;5
3795;Left;5
3812;Left;5
3830;Left;5
3846;Left;5
3864;Left;5
3880;Left;5
3898;Left;10
3916;Left;10
3934;Left;10
3952;Left;10
3968;Left;10
3984;Left;10
4002;Left;15
4020;Left;15
4037;Left;15
4054;Left;15
4071;Left;15
4090;Left;20
4107;Left;20
4125;Left;20
4142;Left;20
4159;Left;20
4177;Left;20
4194;Left;20
4211;Left;25
4228;Left;25
4245;Left;25
4263;Left;25
4280;Left;25
4298;Left;25
4315;Left;25
4334;Left;25
4349;Left;25
4366;Left;25
4384;Left;25
4401;Left;25
4418;Left;25
4436;Left;25
4453;Left;25
4470;Left;25
4487;Left;25
4505;Left;25
4522;Left;25
4539;Left;25
4559;Left;25
4577;Left;25
4594;Left;25
4612;Left;25
4627;Left;30
4645;Left;30
4662;Left;30
4679;Left;30
4696;Left;30
4714;Left;30
4731;Left;30
4748;Left;30
4766;Left;30
4783;Left;30
4801;Left;30
4818;Left;30
4835;Left;30
4853;Left;30
4871;Left;35
4887;Left;35
4904;Left;35
4921;Left;35
4939;Left;40
4956;Left;40
4974;Left;40
4991;Left;40
5009;Left;40
5026;Left;40
5043;Left;40
5061;Left;40
5079;Left;40
5095;Left;40
5113;Left;40
5130;Left;40
5147;Left;40
5165;Left;40
5182;Left;40
5200;Left;40
5217;Left;40
5234;Left;40
5252;Left;40
5269;Left;40
5286;Left;40
5304;Left;40
5321;Left;40
5338;Left;40
5356;Left;40
5374;Left;40
5391;Left;40
5407;Left;40
5425;Left;40
5442;Left;40
5459;Left;40
5476;Left;40
5493;Left;40
5511;Left;40
5528;Left;40
5545;Left;40
5562;Left;40
5582;Left;35
5600;Left;35
5619;Left;35
5634;Left;35
5652;Left;35
5668;Left;35
5685;Left;35
5702;Left;35
5720;Left;35
5737;Left;35
5755;Left;30
5772;Left;35
5789;Left;30
5806;Left;25
5825;Left;15
5841;Left;10
5858;Left;10
5876;Left;15
5894;Left;15
5911;Left;15
5928;Left;15
5946;Left;20
5963;Left;20
5980;Left;25
5997;Left;25
6014;Left;25
6032;Left;25
6050;Left;25
6068;Left;25
6084;Left;25
6101;Left;25
6119;Left;25
6136;Left;25
6153;Left;25
6171;Left;25
6189;Left;25
6206;Left;25
6224;Left;25
6241;Left;25
6258;Left;25
6275;Left;25
6292;Left;25
6309;Left;25
6326;Left;25
6344;Left;25
6360;Left;25
6378;Left;25
6396;Left;25
6413;Left;25
6430;Left;25
6448;Left;25
6465;Left;25
6482;Left;25
6499;Left;25
6517;Left;25
6535;Left;25
6552;Left;25
6571;Left;25
6589;Left;25
6606;Left;25
6623;Left;25
6641;Left;25
6656;Left;25
6673;Left;25
6691;Left;25
6708;Left;25
6725;Left;25
6743;Left;25
6762;Left;25
6779;Left;25
6797;Left;25
6815;Left;25
6832;Left;25
6850;Left;25
6865;Left;25
6882;Left;25
6899;Left;25
6916;Left;25
6934;Left;25
6951;Left;25
6968;Left;25
6985;Left;30
7002;Left;25
7021;Left;25
7046;Left;20
7063;Left;20
7081;Left;15
7098;Left;15
7116;Left;15
7132;Left;15
